id,skill_id,prerequisite_id
1,decimal_to_rational,rational_to_decimal
2,formula_expand_cubic,decimal_to_rational
3,formula_expand_cubic,rational_to_decimal
4,formula_factor_cubic,formula_expand_cubic
5,formula_factor_cubic,decimal_to_rational
6,formula_factor_cubic,rational_to_decimal
7,radical_simplify,formula_factor_cubic
8,radical_simplify,formula_expand_cubic
9,radical_simplify,decimal_to_rational
10,radical_operations,radical_simplify
11,radical_operations,formula_factor_cubic
12,radical_operations,formula_expand_cubic
13,radical_rationalize_mono,radical_operations
14,radical_rationalize_mono,radical_simplify
15,radical_rationalize_mono,formula_factor_cubic
16,radical_rationalize_bi,radical_rationalize_mono
17,radical_rationalize_bi,radical_operations
18,radical_rationalize_bi,radical_simplify
19,double_radical_simplify,radical_rationalize_bi
20,double_radical_simplify,radical_rationalize_mono
21,double_radical_simplify,radical_operations
22,am_gm_basic,double_radical_simplify
23,am_gm_basic,radical_rationalize_bi
24,am_gm_basic,radical_rationalize_mono
25,number_line_section_formula,am_gm_basic
26,abs_eq_linear,number_line_section_formula
27,abs_ineq_less,abs_eq_linear
28,abs_ineq_less,number_line_section_formula
29,abs_ineq_greater,abs_ineq_less
30,abs_ineq_greater,abs_eq_linear
31,abs_ineq_greater,number_line_section_formula
32,abs_eq_two_vars,abs_ineq_greater
33,abs_eq_two_vars,abs_ineq_less
34,abs_eq_two_vars,abs_eq_linear
35,abs_ineq_two_vars,abs_eq_two_vars
36,abs_ineq_two_vars,abs_ineq_greater
37,abs_ineq_two_vars,abs_ineq_less
38,exponent_law_integer,abs_ineq_two_vars
39,exponent_zero_negative,exponent_law_integer
40,exponent_radical_conversion,exponent_zero_negative
41,exponent_radical_conversion,exponent_law_integer
42,exponent_law_rational,exponent_radical_conversion
43,exponent_law_rational,exponent_zero_negative
44,exponent_law_rational,exponent_law_integer
45,scientific_notation_ops,exponent_law_rational
46,log_to_exponent,scientific_notation_ops
47,common_log_definition,log_to_exponent
48,common_log_definition,scientific_notation_ops
49,log_find_digits,common_log_definition
50,log_find_digits,log_to_exponent
51,log_find_digits,scientific_notation_ops
52,log_find_leading_digit,log_find_digits
53,log_find_leading_digit,common_log_definition
54,log_find_leading_digit,log_to_exponent
55,line_slope,log_find_leading_digit
56,line_eq_point_slope,line_slope
57,line_eq_slope_intercept,line_eq_point_slope
58,line_eq_slope_intercept,line_slope
59,line_eq_general_form,line_eq_slope_intercept
60,line_eq_general_form,line_eq_point_slope
61,line_eq_general_form,line_slope
62,line_parallel_condition,line_eq_general_form
63,line_parallel_condition,line_eq_slope_intercept
64,line_parallel_condition,line_eq_point_slope
65,line_perpendicular_condition,line_parallel_condition
66,line_perpendicular_condition,line_eq_general_form
67,line_perpendicular_condition,line_eq_slope_intercept
68,point_to_line_distance,line_perpendicular_condition
69,point_to_line_distance,line_parallel_condition
70,point_to_line_distance,line_eq_general_form
71,parallel_lines_distance,point_to_line_distance
72,parallel_lines_distance,line_perpendicular_condition
73,parallel_lines_distance,line_parallel_condition
74,linear_inequality_region,parallel_lines_distance
75,linear_inequality_region,point_to_line_distance
76,linear_inequality_region,line_perpendicular_condition
77,linear_ineq_system_region,linear_inequality_region
78,linear_ineq_system_region,parallel_lines_distance
79,linear_ineq_system_region,point_to_line_distance
80,circle_eq_standard,linear_ineq_system_region
81,circle_eq_from_center_radius,circle_eq_standard
82,circle_eq_from_diameter,circle_eq_from_center_radius
83,circle_eq_from_diameter,circle_eq_standard
84,circle_eq_general_to_standard,circle_eq_from_diameter
85,circle_eq_general_to_standard,circle_eq_from_center_radius
86,circle_eq_general_to_standard,circle_eq_standard
87,circle_eq_general_discriminate,circle_eq_general_to_standard
88,circle_eq_general_discriminate,circle_eq_from_diameter
89,circle_eq_general_discriminate,circle_eq_from_center_radius
90,circle_point_relation,circle_eq_general_discriminate
91,circle_point_relation,circle_eq_general_to_standard
92,circle_point_relation,circle_eq_from_diameter
93,circle_line_relation_geometric,circle_point_relation
94,circle_line_relation_algebraic,circle_line_relation_geometric
95,circle_line_intersection,circle_line_relation_algebraic
96,circle_line_intersection,circle_line_relation_geometric
97,circle_tangent_on_circle,circle_line_intersection
98,circle_tangent_on_circle,circle_line_relation_algebraic
99,circle_tangent_on_circle,circle_line_relation_geometric
100,circle_tangent_given_slope,circle_tangent_on_circle
101,circle_tangent_given_slope,circle_line_intersection
102,circle_tangent_given_slope,circle_line_relation_algebraic
103,circle_tangent_outside_point,circle_tangent_given_slope
104,circle_tangent_outside_point,circle_tangent_on_circle
105,circle_tangent_outside_point,circle_line_intersection
106,poly_ops_add_sub,circle_tangent_outside_point
107,poly_ops_multiply,poly_ops_add_sub
108,poly_long_division,poly_ops_multiply
109,poly_long_division,poly_ops_add_sub
110,poly_division_theorem_basic,poly_long_division
111,poly_division_theorem_basic,poly_ops_multiply
112,poly_division_theorem_basic,poly_ops_add_sub
113,poly_synthetic_division,poly_division_theorem_basic
114,poly_synthetic_division,poly_long_division
115,poly_synthetic_division,poly_ops_multiply
116,poly_synthetic_division_ax_b,poly_synthetic_division
117,poly_synthetic_division_ax_b,poly_division_theorem_basic
118,poly_synthetic_division_ax_b,poly_long_division
119,remainder_theorem_linear,poly_synthetic_division_ax_b
120,remainder_theorem_linear,poly_synthetic_division
121,remainder_theorem_linear,poly_division_theorem_basic
122,factor_theorem,remainder_theorem_linear
123,factor_theorem,poly_synthetic_division_ax_b
124,factor_theorem,poly_synthetic_division
125,remainder_theorem_quadratic,factor_theorem
126,remainder_theorem_quadratic,remainder_theorem_linear
127,remainder_theorem_quadratic,poly_synthetic_division_ax_b
128,poly_synthetic_division_powers,remainder_theorem_quadratic
129,poly_synthetic_division_powers,factor_theorem
130,poly_synthetic_division_powers,remainder_theorem_linear
131,function_definition,poly_synthetic_division_powers
132,linear_func_graph,function_definition
133,quadratic_func_complete_square,linear_func_graph
134,quadratic_func_complete_square,function_definition
135,quadratic_func_graph,quadratic_func_complete_square
136,quadratic_func_graph,linear_func_graph
137,quadratic_func_graph,function_definition
138,quadratic_func_max_min_basic,quadratic_func_graph
139,quadratic_func_max_min_basic,quadratic_func_complete_square
140,quadratic_func_max_min_basic,linear_func_graph
141,quadratic_func_max_min_domain,quadratic_func_max_min_basic
142,quadratic_func_max_min_domain,quadratic_func_graph
143,quadratic_func_max_min_domain,quadratic_func_complete_square
144,quadratic_func_discriminant,quadratic_func_max_min_domain
145,quadratic_func_discriminant,quadratic_func_max_min_basic
146,quadratic_func_discriminant,quadratic_func_graph
147,cubic_func_graph_ax3,quadratic_func_discriminant
148,cubic_func_graph_ax3,quadratic_func_max_min_domain
149,cubic_func_graph_ax3,quadratic_func_max_min_basic
150,cubic_func_graph_ax3_px,cubic_func_graph_ax3
151,cubic_func_graph_ax3_px,quadratic_func_discriminant
152,cubic_func_graph_ax3_px,quadratic_func_max_min_domain
153,cubic_func_complete_cube,cubic_func_graph_ax3_px
154,cubic_func_complete_cube,cubic_func_graph_ax3
155,cubic_func_complete_cube,quadratic_func_discriminant
156,cubic_func_graph_general,cubic_func_complete_cube
157,cubic_func_graph_general,cubic_func_graph_ax3_px
158,cubic_func_graph_general,cubic_func_graph_ax3
159,cubic_func_global_feature,cubic_func_graph_general
160,cubic_func_global_feature,cubic_func_complete_cube
161,cubic_func_global_feature,cubic_func_graph_ax3_px
162,cubic_func_local_feature,cubic_func_global_feature
163,cubic_func_local_feature,cubic_func_graph_general
164,cubic_func_local_feature,cubic_func_complete_cube
165,quadratic_inequality_solve,cubic_func_local_feature
166,poly_ineq_graph_multiplicity,quadratic_inequality_solve
167,poly_ineq_solve_factored,poly_ineq_graph_multiplicity
168,poly_ineq_solve_factored,quadratic_inequality_solve
169,poly_ineq_solve_general,poly_ineq_solve_factored
170,poly_ineq_solve_general,poly_ineq_graph_multiplicity
171,poly_ineq_solve_general,quadratic_inequality_solve
172,arithmetic_seq_term,poly_ineq_solve_general
173,arithmetic_seq_mean,arithmetic_seq_term
174,geometric_seq_term,arithmetic_seq_mean
175,geometric_seq_term,arithmetic_seq_term
176,geometric_seq_mean,geometric_seq_term
177,geometric_seq_mean,arithmetic_seq_mean
178,geometric_seq_mean,arithmetic_seq_term
179,recursive_relation_read,geometric_seq_mean
180,recursive_relation_read,geometric_seq_term
181,recursive_relation_read,arithmetic_seq_mean
182,recursive_relation_linear,recursive_relation_read
183,recursive_relation_linear,geometric_seq_mean
184,recursive_relation_linear,geometric_seq_term
185,math_induction_proof,recursive_relation_linear
186,math_induction_proof,recursive_relation_read
187,math_induction_proof,geometric_seq_mean
188,arithmetic_series_sum,math_induction_proof
189,arithmetic_series_sum,recursive_relation_linear
190,arithmetic_series_sum,recursive_relation_read
191,geometric_series_sum,arithmetic_series_sum
192,geometric_series_sum,math_induction_proof
193,geometric_series_sum,recursive_relation_linear
194,sigma_notation,geometric_series_sum
195,sigma_notation,arithmetic_series_sum
196,sigma_notation,math_induction_proof
197,sigma_properties,sigma_notation
198,sigma_properties,geometric_series_sum
199,sigma_properties,arithmetic_series_sum
200,sum_n_poly,sigma_properties
201,sum_n_poly,sigma_notation
202,sum_n_poly,geometric_series_sum
203,set_operations,sum_n_poly
204,de_morgan_law,set_operations
205,counting_addition_principle,de_morgan_law
206,counting_addition_principle,set_operations
207,counting_multiplication_principle,counting_addition_principle
208,counting_multiplication_principle,de_morgan_law
209,counting_multiplication_principle,set_operations
210,counting_inclusion_exclusion_2,counting_multiplication_principle
211,counting_inclusion_exclusion_2,counting_addition_principle
212,counting_inclusion_exclusion_2,de_morgan_law
213,counting_inclusion_exclusion_3,counting_inclusion_exclusion_2
214,counting_inclusion_exclusion_3,counting_multiplication_principle
215,counting_inclusion_exclusion_3,counting_addition_principle
216,factorial_calc,counting_inclusion_exclusion_3
217,permutation_linear,factorial_calc
218,permutation_adjacent,permutation_linear
219,permutation_adjacent,factorial_calc
220,permutation_not_adjacent,permutation_adjacent
221,permutation_not_adjacent,permutation_linear
222,permutation_not_adjacent,factorial_calc
223,permutation_identical_items,permutation_not_adjacent
224,permutation_identical_items,permutation_adjacent
225,permutation_identical_items,permutation_linear
226,permutation_repetition,permutation_identical_items
227,permutation_repetition,permutation_not_adjacent
228,permutation_repetition,permutation_adjacent
229,combination_calc,permutation_repetition
230,combination_calc,permutation_identical_items
231,combination_calc,permutation_not_adjacent
232,combination_properties,combination_calc
233,combination_properties,permutation_repetition
234,combination_properties,permutation_identical_items
235,pascal_identity,combination_properties
236,pascal_identity,combination_calc
237,pascal_identity,permutation_repetition
238,combination_grouping,pascal_identity
239,combination_grouping,combination_properties
240,combination_grouping,combination_calc
241,combination_repetition_h,combination_grouping
242,combination_repetition_h,pascal_identity
243,combination_repetition_h,combination_properties
244,binomial_theorem_expand,combination_repetition_h
245,binomial_theorem_expand,combination_grouping
246,binomial_theorem_expand,pascal_identity
