controller,prototype,episode_id,step,phase,action,question_id,domain_skill,subskill_tag,error_tag,diagnosed_skill,failed_subskill,remediation_target_subskill,question_skill,difficulty,a_eff,p_correct,correct,fail_streak_polynomial,polynomial_correct_streak,remediation_active,remediation_steps_taken,integer_recent_results,ability_integer,ability_fraction,ability_radical,ability_polynomial,delta_integer,delta_fraction,delta_radical,delta_polynomial,terminated,termination_reason
AB1,A,1,1,target,target_only,AB1-A-ep1-step1,polynomial,poly.combine_like_terms,polynomial_like_terms_error,,,,polynomial,0.7036471214164013,0.5508845333744924,0.28565616755184914,0,1,0,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.5093476566545269,0.0,0.0,0.0,0.025955012365597455,0,
AB1,A,1,2,target,target_only,AB1-A-ep1-step2,polynomial,poly.combine_like_terms,polynomial_like_terms_error,,,,polynomial,0.684536653374835,0.5690530420304107,0.3333878938974758,0,2,0,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.5351192085269253,0.0,0.0,0.0,0.025771551872398418,0,
AB1,A,1,3,target,target_only,AB1-A-ep1-step3,polynomial,poly.sign_distribution,polynomial_sign_error,integer,poly.combine_like_terms,,polynomial,0.6329797219438071,0.5870931283410896,0.43160161942218006,1,0,1,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.6193745596291271,0.0,0.0,0.0,0.08425535110220184,0,
AB1,A,1,4,target,target_only,AB1-A-ep1-step4,polynomial,poly.combine_like_terms,polynomial_like_terms_error,,,,polynomial,0.6902018729049981,0.6460718741126308,0.43418904526382207,1,0,2,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.7054610195620871,0.0,0.0,0.0,0.08608645993295994,0,
AB1,A,1,5,target,target_only,AB1-A-ep1-step5,polynomial,poly.combine_like_terms,polynomial_like_terms_error,,,,polynomial,0.6949884437779523,0.7063323960657029,0.5170093623762536,1,0,3,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.7917006497629815,0.0,0.0,0.0,0.08623963020089448,0,
AB1,A,1,6,target,target_only,AB1-A-ep1-step6,polynomial,poly.expand_binomial,polynomial_expand_error,,,,polynomial,0.6749209046283854,0.7667001372063289,0.6342922737209382,0,1,0,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.817379890447414,0.0,0.0,0.0,0.0256792406844325,0,
AB1,A,1,7,target,target_only,AB1-A-ep1-step7,polynomial,poly.sign_distribution,polynomial_sign_error,,,,polynomial,0.6306498759678062,0.7846756056854316,0.7158878321561496,1,0,1,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.9015606864783838,0.0,0.0,0.0,0.08418079603096981,0,
AB1,A,1,8,target,target_only,AB1-A-ep1-step8,polynomial,poly.sign_distribution,polynomial_sign_error,,,,polynomial,0.6640250516517993,0.8436021629071105,0.746013516480143,1,0,2,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.9868094881312415,0.0,0.0,0.0,0.08524880165285759,1,success_threshold
AB1,A,2,1,target,target_only,AB1-A-ep2-step1,polynomial,poly.expand_binomial,polynomial_expand_error,,,,polynomial,0.6643955722478971,0.5588200283024718,0.34672793364025173,0,1,0,0,0,,0.7158096477403914,0.2761326165911909,0.09279563803824024,0.5171169603226575,0.0,0.0,0.0,0.025578197493579816,0,
AB1,A,2,2,target,target_only,AB1-A-ep2-step2,polynomial,poly.combine_like_terms,polynomial_like_terms_error,,,,polynomial,0.7029731786693818,0.5767247665479777,0.31919135953537037,1,0,1,0,0,,0.7158096477403914,0.2761326165911909,0.09279563803824024,0.6036121020400778,0.0,0.0,0.0,0.08649514171742023,0,
AB1,A,2,3,target,target_only,AB1-A-ep2-step3,polynomial,poly.sign_distribution,polynomial_sign_error,,,,polynomial,0.722229537202816,0.6372713657501718,0.37525236090181036,0,1,0,0,0,,0.7158096477403914,0.2761326165911909,0.09279563803824024,0.6297455055972248,0.0,0.0,0.0,0.026133403557147033,0,
AB1,A,2,4,target,target_only,AB1-A-ep2-step4,polynomial,poly.combine_like_terms,polynomial_like_terms_error,,,,polynomial,0.7129404664252995,0.6555647482401747,0.4147764260862911,0,2,0,0,0,,0.7158096477403914,0.2761326165911909,0.09279563803824024,0.6557897340749076,0.0,0.0,0.0,0.02604422847768288,0,
AB1,A,2,5,target,target_only,AB1-A-ep2-step5,polynomial,poly.sign_distribution,polynomial_sign_error,integer,poly.combine_like_terms,,polynomial,0.6661635026166977,0.6737957081745527,0.5114463081450532,0,3,0,0,0,,0.7158096477403914,0.2761326165911909,0.09279563803824024,0.6813849037000279,0.0,0.0,0.0,0.0255951696251203,0,
