controller,prototype,episode_id,step,phase,action,diagnosed_skill,question_skill,difficulty,a_eff,p_correct,correct,fail_streak_polynomial,polynomial_correct_streak,remediation_active,remediation_steps_taken,integer_recent_results,ability_integer,ability_fraction,ability_radical,ability_polynomial,delta_integer,delta_fraction,delta_radical,delta_polynomial,terminated,termination_reason
AB1,A,1,1,target,target_only,,polynomial,0.7036471214164013,0.5508845333744924,0.28565616755184914,0,1,0,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.5093476566545269,0.0,0.0,0.0,0.025955012365597455,0,
AB1,A,1,2,target,target_only,,polynomial,0.7192179567704846,0.5690530420304107,0.28884719964772093,1,0,1,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.5963626312711824,0.0,0.0,0.0,0.08701497461665551,0,
AB1,A,1,3,target,target_only,,polynomial,0.672192181968527,0.6299635242620696,0.436993722973298,1,0,2,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.6818727810941753,0.0,0.0,0.0,0.08551014982299288,0,
AB1,A,1,4,target,target_only,,polynomial,0.6518637974803604,0.6898206291381646,0.5566904337264299,1,0,3,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.7667324226135468,0.0,0.0,0.0,0.08485964151937153,0,
AB1,A,1,5,target,target_only,,polynomial,0.6326535969683864,0.7492223782017245,0.6680575445441205,1,0,4,0,0,,0.7083656079074729,0.27150064531336,0.08650175910214716,0.8509773377165352,0.0,0.0,0.0,0.08424491510298837,1,success_threshold
AB1,A,2,1,target,target_only,,polynomial,0.7109430456677828,0.5664470786028196,0.2958839640201621,1,0,1,0,0,,0.7089930662667714,0.302696488836193,0.08322643732244181,0.5921061184939236,0.0,0.0,0.0,0.08675017746136905,0,
AB1,A,2,2,target,target_only,,polynomial,0.7105819251832808,0.6271722028257779,0.3774329646196671,0,1,0,0,0,,0.7089930662667714,0.302696488836193,0.08322643732244181,0.618127704975683,0.0,0.0,0.0,0.026021586481759496,0,
AB1,A,2,3,target,target_only,,polynomial,0.6640250516517993,0.6453873133630095,0.47207248964604315,1,0,1,0,0,,0.7089930662667714,0.302696488836193,0.08322643732244181,0.7033765066285407,0.0,0.0,0.0,0.08524880165285759,0,
AB1,A,2,4,target,target_only,,polynomial,0.7257213072206782,0.7050614745200099,0.4690498720107643,1,0,2,0,0,,0.7089930662667714,0.302696488836193,0.08322643732244181,0.7905995884596024,0.0,0.0,0.0,0.0872230818310617,0,
AB1,A,2,5,target,target_only,,polynomial,0.6392745843380149,0.7661176318017531,0.6815834547589783,1,0,3,0,0,,0.7089930662667714,0.302696488836193,0.08322643732244181,0.8750563751584189,0.0,0.0,0.0,0.08445678669881648,1,success_threshold
AB1,A,3,1,target,target_only,,polynomial,0.6836228091454701,0.5759036336353945,0.3438204114807992,0,1,0,0,0,,0.7208496619808475,0.30622356188201344,0.11842769639646282,0.5395466861694256,0.0,0.0,0.0,0.02576277896779652,0,
AB1,A,3,2,target,target_only,,polynomial,0.6678534377208354,0.5939375789128521,0.39090846014872954,0,2,0,0,0,,0.7208496619808475,0.30622356188201344,0.11842769639646282,0.5651580791715456,0.0,0.0,0.0,0.025611393002120023,0,
AB1,A,3,3,target,target_only,integer,polynomial,0.7129404664252995,0.6118655540143362,0.3528695455916307,0,3,0,0,0,,0.7208496619808475,0.30622356188201344,0.11842769639646282,0.5912023076492284,0.0,0.0,0.0,0.02604422847768288,0,
AB1,A,3,4,target,target_only,integer,polynomial,0.7161706900310778,0.6300965139487141,0.3736838734033271,0,4,0,0,0,,0.7208496619808475,0.30622356188201344,0.11842769639646282,0.6172775462735268,0.0,0.0,0.0,0.026075238624298346,0,
AB1,A,3,5,target,target_only,integer,polynomial,0.7004571836214923,0.648349180985723,0.42246852018851017,1,0,1,0,0,,0.7208496619808475,0.30622356188201344,0.11842769639646282,0.7036921761494146,0.0,0.0,0.0,0.08641462987588776,0,
AB1,A,3,6,target,target_only,,polynomial,0.6527898275651547,0.7088394218988444,0.5832908780511087,1,0,2,0,0,,0.7208496619808475,0.30622356188201344,0.11842769639646282,0.7885814506314995,0.0,0.0,0.0,0.08488927448208497,0,
AB1,A,3,7,target,target_only,,polynomial,0.6379791976923628,0.768261914036304,0.6860455898070641,1,0,3,0,0,,0.7208496619808475,0.30622356188201344,0.11842769639646282,0.8729967849576552,0.0,0.0,0.0,0.08441533432615561,1,success_threshold
AB1,A,4,1,target,target_only,,polynomial,0.6670180967116883,0.5471409772461187,0.3275553583774595,1,0,1,0,0,,0.6760600857645837,0.2866784161866055,0.10814106665586401,0.5772345098329791,0.0,0.0,0.0,0.08534457909477404,0,
AB1,A,4,2,target,target_only,,polynomial,0.6566977822049114,0.6068821826124604,0.4258279747131721,0,1,0,0,0,,0.6760600857645837,0.2866784161866055,0.10814106665586401,0.6027388085421462,0.0,0.0,0.0,0.02550429870916715,0,
AB1,A,4,3,target,target_only,,polynomial,0.6948035385246594,0.6247351917088775,0.3964186255443553,0,2,0,0,0,,0.6760600857645837,0.2866784161866055,0.10814106665586401,0.628608922511983,0.0,0.0,0.0,0.02587011396983673,0,
AB1,A,4,4,target,target_only,integer,polynomial,0.6471138648198097,0.6428442714877631,0.4935959602240306,0,3,0,0,0,,0.6760600857645837,0.2866784161866055,0.10814106665586401,0.6540212156142532,0.0,0.0,0.0,0.025412293102270174,0,
AB1,A,4,5,target,target_only,integer,polynomial,0.6463402493761929,0.6606328766593523,0.5214258119909803,1,0,1,0,0,,0.6760600857645837,0.2866784161866055,0.10814106665586401,0.7387041035942914,0.0,0.0,0.0,0.08468288798003819,0,
AB1,A,4,6,target,target_only,,polynomial,0.7289523350636595,0.7199108982453791,0.48644116981414975,0,1,0,0,0,,0.6760600857645837,0.2866784161866055,0.10814106665586401,0.7649020460109025,0.0,0.0,0.0,0.026197942416611133,0,
AB1,A,4,7,target,target_only,,polynomial,0.6856949743774646,0.7382494579370068,0.5781849619492154,0,2,0,0,0,,0.6760600857645837,0.2866784161866055,0.10814106665586401,0.7906847177649262,0.0,0.0,0.0,0.025782671754023666,0,
AB1,A,4,8,target,target_only,integer,polynomial,0.714285192018981,0.7562973281648234,0.5626866258382147,0,3,0,0,0,,0.6760600857645837,0.2866784161866055,0.10814106665586401,0.8167418556083085,0.0,0.0,0.0,0.02605713784338222,0,
AB1,A,4,9,target,target_only,integer,polynomial,0.6529048071964105,0.774537324655191,0.6747603081203254,1,0,1,0,0,,0.6760600857645837,0.2866784161866055,0.10814106665586401,0.9016348094385936,0.0,0.0,0.0,0.08489295383028514,0,
AB1,A,4,10,target,target_only,,polynomial,0.6615453048059082,0.8339623923363907,0.7377878726271399,1,0,2,0,0,,0.6760600857645837,0.2866784161866055,0.10814106665586401,0.9868042591923827,0.0,0.0,0.0,0.08516944975378907,1,success_threshold
AB1,A,5,1,target,target_only,,polynomial,0.6955438665294881,0.54701416217809,0.29086674278186786,0,1,0,0,0,,0.6826589706151796,0.32657458286010327,0.12258205758836013,0.5147578939665918,0.0,0.0,0.0,0.025877221118683087,0,
AB1,A,5,2,target,target_only,,polynomial,0.7214547589740544,0.5651282169611681,0.2813127484090802,0,2,0,0,0,,0.6826589706151796,0.32657458286010327,0.12258205758836013,0.5408838596527427,0.0,0.0,0.0,0.026125965686150922,0,
AB1,A,5,3,target,target_only,integer,polynomial,0.6564880166498053,0.5834163929414737,0.39211519378155285,1,0,1,0,0,,0.6826589706151796,0.32657458286010327,0.12258205758836013,0.6258914761855364,0.0,0.0,0.0,0.08500761653279378,0,
AB1,A,5,4,target,target_only,,polynomial,0.6861368134163152,0.6429217245144293,0.43553811878968113,1,0,2,0,0,,0.6826589706151796,0.32657458286010327,0.12258205758836013,0.7118478542148585,0.0,0.0,0.0,0.0859563780293221,0,
AB1,A,5,5,target,target_only,,polynomial,0.6884585990223541,0.7030911891349548,0.5219347974229542,0,1,0,0,0,,0.6826589706151796,0.32657458286010327,0.12258205758836013,0.7376570567654731,0.0,0.0,0.0,0.0258092025506146,0,
AB1,A,5,6,target,target_only,,polynomial,0.6699400505140398,0.721157630920385,0.57622742407489,1,0,1,0,0,,0.6826589706151796,0.32657458286010327,0.12258205758836013,0.8230951383819224,0.0,0.0,0.0,0.0854380816164493,0,
AB1,A,5,7,target,target_only,,polynomial,0.729753760649511,0.7809642880518994,0.576217090429585,1,0,2,0,0,,0.6826589706151796,0.32657458286010327,0.12258205758836013,0.9104472587227067,0.0,0.0,0.0,0.08735212034078436,1,success_threshold
AB1,A,6,1,target,target_only,,polynomial,0.7092079364362964,0.5579891031706581,0.28754999518325614,0,1,0,0,0,,0.6754545647304276,0.27282698252548404,0.07657894782103955,0.5336551586919739,0.0,0.0,0.0,0.026008396189788445,0,
AB1,A,6,2,target,target_only,,polynomial,0.6363527706151958,0.57619498050351,0.41073040605702565,1,0,1,0,0,,0.6754545647304276,0.27282698252548404,0.07657894782103955,0.6180184473516601,0.0,0.0,0.0,0.08436328865968626,0,
AB1,A,6,3,target,target_only,,polynomial,0.7296121380240097,0.6352492825652903,0.36211939862474907,0,1,0,0,0,,0.6754545647304276,0.27282698252548404,0.07657894782103955,0.6442227238766907,0.0,0.0,0.0,0.0262042765250305,0,
AB1,A,6,4,target,target_only,,polynomial,0.7271078377613619,0.6535922761328117,0.39148047198404523,0,2,0,0,0,,0.6754545647304276,0.27282698252548404,0.07657894782103955,0.6704029591191998,0.0,0.0,0.0,0.02618023524250908,0,
AB1,A,6,5,target,target_only,integer,polynomial,0.631148102194282,0.6719184408025681,0.56085235999983,0,3,0,0,0,,0.6754545647304276,0.27282698252548404,0.07657894782103955,0.6956619809002649,0.0,0.0,0.0,0.02525902178106511,0,
