min_remediation_steps,recent_correct_streak_threshold,mastery_growth_delta_threshold,prototype,ab2_success_rate,ab3_success_rate,ab2_avg_total_steps,ab3_avg_total_steps,ab2_avg_polynomial_gain,ab3_avg_polynomial_gain,delta_success_rate,delta_avg_total_steps,delta_avg_polynomial_gain
1,1,0.0,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
1,1,0.0,B,0.56,0.61,25.61,26.08,0.3457654100646906,0.3583304737986116,0.04999999999999993,0.46999999999999886,0.012565063733921022
1,1,0.0,C,0.82,0.93,22.11,22.0,0.3555006619662921,0.3743963771755629,0.1100000000000001,-0.10999999999999943,0.018895715209270803
1,1,0.01,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
1,1,0.01,B,0.56,0.61,25.61,26.08,0.3457654100646906,0.3583304737986116,0.04999999999999993,0.46999999999999886,0.012565063733921022
1,1,0.01,C,0.82,0.93,22.11,22.0,0.3555006619662921,0.3743963771755629,0.1100000000000001,-0.10999999999999943,0.018895715209270803
1,1,0.02,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
1,1,0.02,B,0.56,0.61,25.61,26.08,0.3457654100646906,0.3583304737986116,0.04999999999999993,0.46999999999999886,0.012565063733921022
1,1,0.02,C,0.82,0.93,22.11,22.0,0.3555006619662921,0.3743963771755629,0.1100000000000001,-0.10999999999999943,0.018895715209270803
1,2,0.0,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
1,2,0.0,B,0.56,0.61,25.61,26.06,0.3457654100646906,0.3505522453948482,0.04999999999999993,0.4499999999999993,0.004786835330157613
1,2,0.0,C,0.82,0.89,22.11,21.29,0.3555006619662921,0.3806438932193327,0.07000000000000006,-0.8200000000000003,0.025143231253040577
1,2,0.01,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
1,2,0.01,B,0.56,0.61,25.61,26.06,0.3457654100646906,0.3505522453948482,0.04999999999999993,0.4499999999999993,0.004786835330157613
1,2,0.01,C,0.82,0.89,22.11,21.29,0.3555006619662921,0.3806438932193327,0.07000000000000006,-0.8200000000000003,0.025143231253040577
1,2,0.02,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
1,2,0.02,B,0.56,0.61,25.61,26.06,0.3457654100646906,0.3505522453948482,0.04999999999999993,0.4499999999999993,0.004786835330157613
1,2,0.02,C,0.82,0.89,22.11,21.29,0.3555006619662921,0.3806438932193327,0.07000000000000006,-0.8200000000000003,0.025143231253040577
1,3,0.0,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
1,3,0.0,B,0.56,0.48,25.61,26.08,0.3457654100646906,0.3420150346663577,-0.08000000000000007,0.46999999999999886,-0.0037503753983328947
1,3,0.0,C,0.82,0.89,22.11,21.38,0.3555006619662921,0.380512091370079,0.07000000000000006,-0.7300000000000004,0.025011429403786922
1,3,0.01,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
1,3,0.01,B,0.56,0.48,25.61,26.08,0.3457654100646906,0.3420150346663577,-0.08000000000000007,0.46999999999999886,-0.0037503753983328947
1,3,0.01,C,0.82,0.89,22.11,21.38,0.3555006619662921,0.380512091370079,0.07000000000000006,-0.7300000000000004,0.025011429403786922
1,3,0.02,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
1,3,0.02,B,0.56,0.48,25.61,26.08,0.3457654100646906,0.3420150346663577,-0.08000000000000007,0.46999999999999886,-0.0037503753983328947
1,3,0.02,C,0.82,0.89,22.11,21.38,0.3555006619662921,0.380512091370079,0.07000000000000006,-0.7300000000000004,0.025011429403786922
2,1,0.0,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
2,1,0.0,B,0.56,0.61,25.61,26.08,0.3457654100646906,0.3583304737986116,0.04999999999999993,0.46999999999999886,0.012565063733921022
2,1,0.0,C,0.82,0.93,22.11,22.0,0.3555006619662921,0.3743963771755629,0.1100000000000001,-0.10999999999999943,0.018895715209270803
2,1,0.01,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
2,1,0.01,B,0.56,0.61,25.61,26.08,0.3457654100646906,0.3583304737986116,0.04999999999999993,0.46999999999999886,0.012565063733921022
2,1,0.01,C,0.82,0.93,22.11,22.0,0.3555006619662921,0.3743963771755629,0.1100000000000001,-0.10999999999999943,0.018895715209270803
2,1,0.02,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
2,1,0.02,B,0.56,0.61,25.61,26.08,0.3457654100646906,0.3583304737986116,0.04999999999999993,0.46999999999999886,0.012565063733921022
2,1,0.02,C,0.82,0.93,22.11,22.0,0.3555006619662921,0.3743963771755629,0.1100000000000001,-0.10999999999999943,0.018895715209270803
2,2,0.0,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
2,2,0.0,B,0.56,0.58,25.61,26.44,0.3457654100646906,0.3503438602278027,0.019999999999999907,0.8300000000000018,0.004578450163112091
2,2,0.0,C,0.82,0.91,22.11,21.63,0.3555006619662921,0.3772794666815635,0.09000000000000008,-0.4800000000000004,0.021778804715271383
2,2,0.01,A,0.97,0.99,18.68,18.59,0.364660450516279,0.3932482687507226,0.020000000000000018,-0.08999999999999986,0.028587818234443618
2,2,0.01,B,0.56,0.58,25.61,26.44,0.3457654100646906,0.3503438602278027,0.019999999999999907,0.8300000000000018,0.004578450163112091
