strategy,student_type,success,total_steps,final_mastery,reached_mastery_step,remediation_count,unnecessary_remediations,final_accuracy
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,7,0.89,7,0,0,0.8
AB1_Baseline,Careless,1,9,0.85,9,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,6,0.91,6,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,6,0.91,6,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,6,0.91,6,0,0,0.8
AB1_Baseline,Careless,1,5,0.9,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,10,0.97,10,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.9,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,6,0.91,6,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.9,5,0,0,0.8
AB1_Baseline,Careless,1,9,0.85,9,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,6,0.88,6,0,0,0.8
AB1_Baseline,Careless,1,6,0.91,6,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,9,0.85,9,0,0,0.8
AB1_Baseline,Careless,1,6,0.91,6,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,10,0.97,10,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,6,0.91,6,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,8,0.87,8,0,0,0.8
AB1_Baseline,Careless,1,6,0.91,6,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.93,5,0,0,0.8
AB1_Baseline,Careless,1,5,0.9,5,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
AB1_Baseline,Careless,1,4,0.95,4,0,0,0.8
