episode_id,student_group,student_type,student_type_zh,steps_taken,final_mastery,success,mainline_steps,remediation_steps,reached_mastery_step,total_mastery_gain
1,Careless,careless,拔尖組,15,0.8015,1,13,2,15,0.1957
2,Careless,careless,拔尖組,31,0.8018,1,24,7,31,0.308
3,Careless,careless,拔尖組,4,0.8049,1,4,0,4,0.0727
4,Careless,careless,拔尖組,10,0.8017,1,6,4,10,0.087
5,Careless,careless,拔尖組,16,0.8161,1,12,4,16,0.1397
6,Careless,careless,拔尖組,10,0.8218,1,10,0,10,0.1423
7,Careless,careless,拔尖組,1,0.8054,1,1,0,1,0.0401
8,Careless,careless,拔尖組,13,0.8096,1,11,2,13,0.1414
9,Careless,careless,拔尖組,40,0.8082,1,25,15,40,0.1869
10,Careless,careless,拔尖組,40,0.6627,0,24,16,,0.1616
11,Careless,careless,拔尖組,25,0.8204,1,15,10,25,0.1342
12,Careless,careless,拔尖組,5,0.817,1,3,2,5,0.1057
13,Careless,careless,拔尖組,21,0.8067,1,13,8,21,0.2001
14,Careless,careless,拔尖組,10,0.8087,1,6,4,10,0.032
15,Careless,careless,拔尖組,16,0.8277,1,14,2,16,0.1898
16,Careless,careless,拔尖組,20,0.8125,1,17,3,20,0.2056
17,Careless,careless,拔尖組,40,0.5523,0,20,20,,0.1035
18,Careless,careless,拔尖組,20,0.8245,1,14,6,20,0.1625
19,Careless,careless,拔尖組,9,0.8133,1,7,2,9,0.0859
20,Careless,careless,拔尖組,26,0.8159,1,18,8,26,0.1775
21,Careless,careless,拔尖組,17,0.8217,1,14,3,17,0.1886
22,Careless,careless,拔尖組,24,0.81,1,17,7,24,0.2372
23,Careless,careless,拔尖組,5,0.8139,1,4,1,5,0.0712
24,Careless,careless,拔尖組,40,0.6558,0,20,20,,0.063
25,Careless,careless,拔尖組,14,0.8015,1,10,4,14,0.1444
26,Careless,careless,拔尖組,31,0.806,1,18,13,31,0.2124
27,Careless,careless,拔尖組,9,0.8214,1,5,4,9,0.0384
28,Careless,careless,拔尖組,5,0.8119,1,5,0,5,0.0913
29,Careless,careless,拔尖組,13,0.842,1,8,5,13,0.1568
30,Careless,careless,拔尖組,18,0.8044,1,12,6,18,0.1868
31,Careless,careless,拔尖組,32,0.8314,1,23,9,32,0.2296
32,Careless,careless,拔尖組,33,0.805,1,21,12,33,0.2879
33,Careless,careless,拔尖組,16,0.8172,1,14,2,16,0.2085
34,Careless,careless,拔尖組,16,0.8319,1,10,6,16,0.1894
35,Careless,careless,拔尖組,20,0.8052,1,14,6,20,0.2516
36,Careless,careless,拔尖組,0,0.8002,1,0,0,,0.0
37,Careless,careless,拔尖組,24,0.8172,1,16,8,24,0.2683
38,Careless,careless,拔尖組,21,0.8047,1,15,6,21,0.2147
39,Careless,careless,拔尖組,23,0.8123,1,13,10,23,0.1285
40,Careless,careless,拔尖組,10,0.8133,1,8,2,10,0.1321
41,Careless,careless,拔尖組,14,0.8113,1,14,0,14,0.1935
42,Careless,careless,拔尖組,21,0.8043,1,15,6,21,0.1896
43,Careless,careless,拔尖組,4,0.814,1,4,0,4,0.0637
44,Careless,careless,拔尖組,26,0.8097,1,15,11,26,0.1139
45,Careless,careless,拔尖組,22,0.8022,1,16,6,22,0.2328
46,Careless,careless,拔尖組,25,0.8038,1,15,10,25,0.1557
47,Careless,careless,拔尖組,13,0.8075,1,7,6,13,0.0942
48,Careless,careless,拔尖組,8,0.8043,1,4,4,8,0.1109
49,Careless,careless,拔尖組,8,0.8283,1,5,3,8,0.1145
50,Careless,careless,拔尖組,17,0.8073,1,11,6,17,0.144
51,Careless,careless,拔尖組,29,0.8006,1,15,14,29,0.1742
52,Careless,careless,拔尖組,7,0.8307,1,5,2,7,0.1148
53,Careless,careless,拔尖組,1,0.8373,1,1,0,1,0.0494
54,Careless,careless,拔尖組,8,0.829,1,6,2,8,0.1416
55,Careless,careless,拔尖組,36,0.8004,1,22,14,36,0.2818
56,Careless,careless,拔尖組,16,0.8073,1,12,4,16,0.2185
57,Careless,careless,拔尖組,13,0.8184,1,11,2,13,0.2088
58,Careless,careless,拔尖組,21,0.8181,1,19,2,21,0.2189
59,Careless,careless,拔尖組,25,0.8053,1,15,10,25,0.2577
60,Careless,careless,拔尖組,13,0.8003,1,10,3,13,0.1543
61,Careless,careless,拔尖組,40,0.4469,0,17,23,,-0.0895
62,Careless,careless,拔尖組,27,0.8148,1,15,12,27,0.2115
63,Careless,careless,拔尖組,39,0.8097,1,22,17,39,0.2898
64,Careless,careless,拔尖組,9,0.8082,1,9,0,9,0.1835
65,Careless,careless,拔尖組,12,0.8212,1,10,2,12,0.1887
66,Careless,careless,拔尖組,4,0.8023,1,4,0,4,0.1039
67,Careless,careless,拔尖組,15,0.8123,1,11,4,15,0.1301
68,Careless,careless,拔尖組,40,0.7631,0,22,18,,0.2929
69,Careless,careless,拔尖組,18,0.8138,1,16,2,18,0.1921
70,Careless,careless,拔尖組,21,0.8249,1,17,4,21,0.2247
71,Careless,careless,拔尖組,5,0.8082,1,3,2,5,0.0479
72,Careless,careless,拔尖組,15,0.8044,1,10,5,15,0.1064
73,Careless,careless,拔尖組,10,0.8129,1,10,0,10,0.1973
74,Careless,careless,拔尖組,40,0.7324,0,22,18,,0.132
75,Careless,careless,拔尖組,7,0.8118,1,5,2,7,0.0762
76,Careless,careless,拔尖組,11,0.8237,1,9,2,11,0.1506
77,Careless,careless,拔尖組,4,0.8008,1,2,2,4,0.0363
78,Careless,careless,拔尖組,14,0.8081,1,10,4,14,0.1529
79,Careless,careless,拔尖組,23,0.8342,1,16,7,23,0.197
80,Careless,careless,拔尖組,5,0.834,1,5,0,5,0.0675
81,Careless,careless,拔尖組,15,0.8038,1,11,4,15,0.1522
82,Careless,careless,拔尖組,15,0.8408,1,9,6,15,0.2023
83,Careless,careless,拔尖組,29,0.84,1,21,8,29,0.2873
84,Careless,careless,拔尖組,5,0.8299,1,5,0,5,0.1493
85,Careless,careless,拔尖組,12,0.8013,1,10,2,12,0.1471
86,Careless,careless,拔尖組,3,0.8224,1,3,0,3,0.0974
87,Careless,careless,拔尖組,20,0.8046,1,16,4,20,0.2484
88,Careless,careless,拔尖組,14,0.8299,1,7,7,14,0.0985
89,Careless,careless,拔尖組,23,0.8141,1,14,9,23,0.258
90,Careless,careless,拔尖組,2,0.805,1,2,0,2,0.0604
