max_steps,strategy,student_type,success_rate,avg_steps,avg_final_mastery
30,AB1_Baseline,Careless,0.36,27.42,0.7968
30,AB1_Baseline,Weak,0.0,30.0,0.5123
30,AB1_Baseline,Average,0.01,29.99,0.7262
30,AB2_RuleBased,Careless,0.4,26.07,0.8002
30,AB2_RuleBased,Weak,0.0,30.0,0.5417
30,AB2_RuleBased,Average,0.0,30.0,0.7019
30,AB3_PPO_Dynamic,Careless,0.76,20.98,0.8353
30,AB3_PPO_Dynamic,Weak,0.0,30.0,0.4545
30,AB3_PPO_Dynamic,Average,0.38,28.95,0.7937
40,AB1_Baseline,Careless,0.48,33.23,0.8163
40,AB1_Baseline,Weak,0.0,40.0,0.5608
40,AB1_Baseline,Average,0.16,39.28,0.7743
40,AB2_RuleBased,Careless,0.36,34.22,0.7969
40,AB2_RuleBased,Weak,0.0,40.0,0.581
40,AB2_RuleBased,Average,0.01,40.0,0.7286
40,AB3_PPO_Dynamic,Careless,0.92,22.35,0.85
40,AB3_PPO_Dynamic,Weak,0.02,39.96,0.5106
40,AB3_PPO_Dynamic,Average,0.84,32.95,0.8427
50,AB1_Baseline,Careless,0.68,36.56,0.838
50,AB1_Baseline,Weak,0.01,49.99,0.6096
50,AB1_Baseline,Average,0.39,46.66,0.8036
50,AB2_RuleBased,Careless,0.5,37.39,0.8142
50,AB2_RuleBased,Weak,0.0,50.0,0.5978
50,AB2_RuleBased,Average,0.09,49.42,0.7552
50,AB3_PPO_Dynamic,Careless,0.97,23.69,0.8524
50,AB3_PPO_Dynamic,Weak,0.11,49.58,0.5689
50,AB3_PPO_Dynamic,Average,0.93,35.02,0.8445
