strategy,student_type,success,total_steps,final_mastery,reached_mastery_step,remediation_count,unnecessary_remediations,final_accuracy
AB1_Baseline,Careless,0,30,0.7944,,0,0,0.6333
AB1_Baseline,Careless,0,30,0.7528,,0,0,0.5
AB1_Baseline,Careless,1,18,0.8572,18,0,0,0.6111
AB1_Baseline,Careless,0,30,0.7519,,0,0,0.6
AB1_Baseline,Careless,1,27,0.8601,27,0,0,0.5926
AB1_Baseline,Careless,0,30,0.7951,,0,0,0.6
AB1_Baseline,Careless,0,30,0.7884,,0,0,0.5
AB1_Baseline,Careless,1,29,0.8615,29,0,0,0.7241
AB1_Baseline,Careless,1,24,0.8503,24,0,0,0.875
AB1_Baseline,Careless,0,30,0.7192,,0,0,0.5
AB1_Baseline,Careless,0,30,0.7577,,0,0,0.4667
AB1_Baseline,Careless,0,30,0.7725,,0,0,0.5333
AB1_Baseline,Careless,0,30,0.5625,,0,0,0.4333
AB1_Baseline,Careless,0,30,0.6699,,0,0,0.4667
AB1_Baseline,Careless,0,30,0.7945,,0,0,0.5667
AB1_Baseline,Careless,0,30,0.8481,,0,0,0.7333
AB1_Baseline,Careless,1,24,0.8512,24,0,0,0.6667
AB1_Baseline,Careless,1,26,0.8615,26,0,0,0.6154
AB1_Baseline,Careless,0,30,0.6211,,0,0,0.4667
AB1_Baseline,Careless,0,30,0.8133,,0,0,0.5667
AB1_Baseline,Careless,1,25,0.8603,25,0,0,0.52
AB1_Baseline,Careless,0,30,0.7783,,0,0,0.5
AB1_Baseline,Careless,0,30,0.8377,,0,0,0.6667
AB1_Baseline,Careless,1,30,0.851,30,0,0,0.6667
AB1_Baseline,Careless,1,18,0.8523,18,0,0,0.5
AB1_Baseline,Careless,1,17,0.8661,17,0,0,0.7059
AB1_Baseline,Careless,1,26,0.8516,26,0,0,0.5769
AB1_Baseline,Careless,1,30,0.8501,30,0,0,0.6333
AB1_Baseline,Careless,1,20,0.8679,20,0,0,0.75
AB1_Baseline,Careless,0,30,0.7817,,0,0,0.5333
AB1_Baseline,Careless,0,30,0.8129,,0,0,0.7333
AB1_Baseline,Careless,0,30,0.759,,0,0,0.6
AB1_Baseline,Careless,0,30,0.8181,,0,0,0.8
AB1_Baseline,Careless,0,30,0.7444,,0,0,0.6
AB1_Baseline,Careless,1,27,0.8671,27,0,0,0.4444
AB1_Baseline,Careless,0,30,0.8383,,0,0,0.5667
AB1_Baseline,Careless,1,23,0.8625,23,0,0,0.7391
AB1_Baseline,Careless,0,30,0.8003,,0,0,0.6667
AB1_Baseline,Careless,1,22,0.8572,22,0,0,0.7273
AB1_Baseline,Careless,0,30,0.8231,,0,0,0.6333
AB1_Baseline,Careless,1,15,0.8574,15,0,0,0.6
AB1_Baseline,Careless,0,30,0.8296,,0,0,0.6333
AB1_Baseline,Careless,0,30,0.8087,,0,0,0.5667
AB1_Baseline,Careless,0,30,0.7555,,0,0,0.4667
AB1_Baseline,Careless,1,21,0.8703,21,0,0,0.619
AB1_Baseline,Careless,1,24,0.8528,24,0,0,0.6667
AB1_Baseline,Careless,0,30,0.8359,,0,0,0.7333
AB1_Baseline,Careless,0,30,0.6548,,0,0,0.4667
AB1_Baseline,Careless,0,30,0.6802,,0,0,0.5333
AB1_Baseline,Careless,0,30,0.7232,,0,0,0.3667
AB1_Baseline,Careless,0,30,0.8087,,0,0,0.5667
AB1_Baseline,Careless,1,30,0.8686,30,0,0,0.5333
AB1_Baseline,Careless,0,30,0.7113,,0,0,0.4333
AB1_Baseline,Careless,1,20,0.8592,20,0,0,0.7
AB1_Baseline,Careless,0,30,0.7255,,0,0,0.4333
AB1_Baseline,Careless,0,30,0.7257,,0,0,0.4
AB1_Baseline,Careless,0,30,0.7322,,0,0,0.6667
AB1_Baseline,Careless,1,23,0.8662,23,0,0,0.8261
AB1_Baseline,Careless,0,30,0.5904,,0,0,0.5333
AB1_Baseline,Careless,1,21,0.8579,21,0,0,0.5238
AB1_Baseline,Careless,0,30,0.8108,,0,0,0.6333
AB1_Baseline,Careless,1,20,0.8555,20,0,0,0.7
