strategy,student_type,success,total_steps,final_mastery,reached_mastery_step,remediation_count,unnecessary_remediations,final_accuracy
AB1_Baseline,Careless,0,50,0.8145,,0,0,0.66
AB1_Baseline,Careless,1,27,0.854,27,0,0,0.5556
AB1_Baseline,Careless,1,45,0.8824,45,0,0,0.6444
AB1_Baseline,Careless,1,21,0.8556,21,0,0,0.5714
AB1_Baseline,Careless,0,50,0.781,,0,0,0.54
AB1_Baseline,Careless,0,50,0.7066,,0,0,0.56
AB1_Baseline,Careless,1,34,0.8606,34,0,0,0.7353
AB1_Baseline,Careless,0,50,0.7912,,0,0,0.48
AB1_Baseline,Careless,1,17,0.8639,17,0,0,0.5882
AB1_Baseline,Careless,0,50,0.8082,,0,0,0.5
AB1_Baseline,Careless,0,50,0.818,,0,0,0.62
AB1_Baseline,Careless,1,32,0.8657,32,0,0,0.7188
AB1_Baseline,Careless,0,50,0.8249,,0,0,0.58
AB1_Baseline,Careless,1,42,0.8755,42,0,0,0.6429
AB1_Baseline,Careless,1,42,0.8673,42,0,0,0.6429
AB1_Baseline,Careless,0,50,0.7863,,0,0,0.58
AB1_Baseline,Careless,1,17,0.8689,17,0,0,0.6471
AB1_Baseline,Careless,0,50,0.7601,,0,0,0.58
AB1_Baseline,Careless,1,47,0.8537,47,0,0,0.6809
AB1_Baseline,Careless,1,30,0.8506,30,0,0,0.6333
AB1_Baseline,Careless,1,20,0.856,20,0,0,0.75
AB1_Baseline,Careless,1,42,0.8503,42,0,0,0.6429
AB1_Baseline,Careless,1,27,0.8731,27,0,0,0.5926
AB1_Baseline,Careless,1,32,0.8601,32,0,0,0.7188
AB1_Baseline,Careless,1,23,0.8827,23,0,0,0.7391
AB1_Baseline,Careless,0,50,0.7601,,0,0,0.52
AB1_Baseline,Careless,1,37,0.8529,37,0,0,0.6216
AB1_Baseline,Careless,1,21,0.8551,21,0,0,0.8095
AB1_Baseline,Careless,1,10,0.8545,10,0,0,0.7
AB1_Baseline,Careless,1,47,0.8811,47,0,0,0.6383
AB1_Baseline,Careless,1,21,0.8593,21,0,0,0.6667
AB1_Baseline,Careless,1,42,0.8535,42,0,0,0.5476
AB1_Baseline,Careless,0,50,0.8101,,0,0,0.6
AB1_Baseline,Careless,1,48,0.8629,48,0,0,0.6458
AB1_Baseline,Careless,1,37,0.8552,37,0,0,0.7297
AB1_Baseline,Careless,1,47,0.8536,47,0,0,0.617
AB1_Baseline,Careless,0,50,0.8388,,0,0,0.62
AB1_Baseline,Careless,1,22,0.8521,22,0,0,0.5455
AB1_Baseline,Careless,1,30,0.8676,30,0,0,0.5667
AB1_Baseline,Careless,1,39,0.8584,39,0,0,0.5128
AB1_Baseline,Careless,1,17,0.8673,17,0,0,0.6471
AB1_Baseline,Careless,0,50,0.7979,,0,0,0.56
AB1_Baseline,Careless,1,37,0.8639,37,0,0,0.5135
AB1_Baseline,Careless,1,32,0.8542,32,0,0,0.7188
AB1_Baseline,Careless,1,27,0.8645,27,0,0,0.6296
AB1_Baseline,Careless,1,49,0.8698,49,0,0,0.6327
AB1_Baseline,Careless,1,44,0.8747,44,0,0,0.6591
AB1_Baseline,Careless,0,50,0.7708,,0,0,0.54
AB1_Baseline,Careless,1,34,0.8716,34,0,0,0.6176
AB1_Baseline,Careless,1,32,0.8738,32,0,0,0.6875
AB1_Baseline,Careless,1,17,0.8504,17,0,0,0.5882
AB1_Baseline,Careless,1,32,0.8503,32,0,0,0.6875
AB1_Baseline,Careless,1,24,0.8612,24,0,0,0.5833
AB1_Baseline,Careless,1,35,0.8549,35,0,0,0.6
AB1_Baseline,Careless,1,41,0.8705,41,0,0,0.5366
AB1_Baseline,Careless,1,31,0.8719,31,0,0,0.5484
AB1_Baseline,Careless,0,50,0.8413,,0,0,0.54
AB1_Baseline,Careless,1,12,0.8533,12,0,0,0.6667
AB1_Baseline,Careless,1,29,0.8823,29,0,0,0.5862
AB1_Baseline,Careless,1,15,0.8518,15,0,0,0.6667
AB1_Baseline,Careless,1,41,0.8556,41,0,0,0.6098
AB1_Baseline,Careless,0,50,0.8439,,0,0,0.48
AB1_Baseline,Careless,0,50,0.7062,,0,0,0.66
AB1_Baseline,Careless,0,50,0.8299,,0,0,0.7
AB1_Baseline,Careless,1,17,0.8562,17,0,0,0.7059
AB1_Baseline,Careless,1,23,0.8596,23,0,0,0.6522
AB1_Baseline,Careless,0,50,0.8343,,0,0,0.56
AB1_Baseline,Careless,0,50,0.8021,,0,0,0.5
AB1_Baseline,Careless,1,42,0.8563,42,0,0,0.5238
AB1_Baseline,Careless,1,35,0.8526,35,0,0,0.6571
AB1_Baseline,Careless,1,37,0.8529,37,0,0,0.5405
AB1_Baseline,Careless,1,30,0.8575,30,0,0,0.5667
AB1_Baseline,Careless,0,50,0.6557,,0,0,0.42
AB1_Baseline,Careless,1,42,0.8598,42,0,0,0.4762
AB1_Baseline,Careless,0,50,0.8442,,0,0,0.66
AB1_Baseline,Careless,0,50,0.7594,,0,0,0.54
AB1_Baseline,Careless,1,25,0.8583,25,0,0,0.52
AB1_Baseline,Careless,0,50,0.8145,,0,0,0.62
AB1_Baseline,Careless,1,30,0.8772,30,0,0,0.6667
AB1_Baseline,Careless,1,26,0.8559,26,0,0,0.6538
AB1_Baseline,Careless,0,50,0.8215,,0,0,0.74
AB1_Baseline,Careless,1,15,0.8567,15,0,0,0.5333
AB1_Baseline,Careless,1,17,0.8515,17,0,0,0.7647
AB1_Baseline,Careless,0,50,0.652,,0,0,0.6
AB1_Baseline,Careless,0,50,0.8021,,0,0,0.54
AB1_Baseline,Careless,1,42,0.8685,42,0,0,0.5476
AB1_Baseline,Careless,1,38,0.8737,38,0,0,0.5789
AB1_Baseline,Careless,1,15,0.8525,15,0,0,0.7333
AB1_Baseline,Careless,0,50,0.8209,,0,0,0.62
AB1_Baseline,Careless,1,27,0.8559,27,0,0,0.7407
AB1_Baseline,Careless,0,50,0.831,,0,0,0.7
AB1_Baseline,Careless,1,27,0.8506,27,0,0,0.5926
AB1_Baseline,Careless,1,21,0.854,21,0,0,0.5238
AB1_Baseline,Careless,1,23,0.8529,23,0,0,0.7826
AB1_Baseline,Careless,0,50,0.7831,,0,0,0.58
AB1_Baseline,Careless,1,45,0.8633,45,0,0,0.7111
AB1_Baseline,Careless,0,50,0.8431,,0,0,0.54
AB1_Baseline,Careless,0,50,0.6963,,0,0,0.58
AB1_Baseline,Careless,1,16,0.8618,16,0,0,0.6875
AB1_Baseline,Careless,1,15,0.8509,15,0,0,0.7333
AB1_Baseline,Weak,0,50,0.6018,,0,0,0.54
AB1_Baseline,Weak,0,50,0.7416,,0,0,0.7
AB1_Baseline,Weak,0,50,0.5351,,0,0,0.56
